center_stream_index	center_reference	window_size	movement_sequence	continuity_sequence	reason_sequence
104	3:10	5	"[""strong"", ""candidate"", ""strong"", ""strong"", ""none""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""same""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], []]"
105	3:10	5	"[""candidate"", ""strong"", ""strong"", ""none"", ""none""]"	"[""shift"", ""shift"", ""shift"", ""same"", ""same""]"	"[[""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], []]"
110	3:12	5	"[""none"", ""none"", ""candidate"", ""candidate"", ""none""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[], [], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], []]"
111	3:13	5	"[""none"", ""candidate"", ""candidate"", ""none"", ""candidate""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [], [""independence_transition"", ""subordination_transition""]]"
113	3:13	5	"[""candidate"", ""none"", ""candidate"", ""candidate"", ""none""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], []]"
114	3:13	5	"[""none"", ""candidate"", ""candidate"", ""none"", ""candidate""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [], [""independence_transition"", ""subordination_transition""]]"
116	3:14	5	"[""candidate"", ""none"", ""candidate"", ""candidate"", ""none""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], []]"
117	3:14	5	"[""none"", ""candidate"", ""candidate"", ""none"", ""candidate""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [], [""independence_transition"", ""subordination_transition""]]"
119	3:15	5	"[""candidate"", ""none"", ""candidate"", ""candidate"", ""none""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], []]"
120	3:15	5	"[""none"", ""candidate"", ""candidate"", ""none"", ""strong""]"	"[""same"", ""same"", ""same"", ""same"", ""shift""]"	"[[], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [], [""number_change"", ""person_change"", ""subject_shift""]]"
122	3:16	5	"[""candidate"", ""none"", ""strong"", ""candidate"", ""strong""]"	"[""same"", ""same"", ""shift"", ""same"", ""shift""]"	"[[""independence_transition"", ""subordination_transition""], [], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
123	3:16	5	"[""none"", ""strong"", ""candidate"", ""strong"", ""candidate""]"	"[""same"", ""shift"", ""same"", ""shift"", ""same""]"	"[[], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
124	3:16	5	"[""strong"", ""candidate"", ""strong"", ""candidate"", ""candidate""]"	"[""shift"", ""same"", ""shift"", ""same"", ""same""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
125	3:17	5	"[""candidate"", ""strong"", ""candidate"", ""candidate"", ""none""]"	"[""same"", ""shift"", ""same"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], []]"
126	3:17	5	"[""strong"", ""candidate"", ""candidate"", ""none"", ""strong""]"	"[""shift"", ""same"", ""same"", ""same"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [], [""number_change"", ""person_change"", ""subject_shift""]]"
128	3:17	5	"[""candidate"", ""none"", ""strong"", ""strong"", ""candidate""]"	"[""same"", ""same"", ""shift"", ""shift"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""]]"
129	3:18	5	"[""none"", ""strong"", ""strong"", ""candidate"", ""candidate""]"	"[""same"", ""shift"", ""shift"", ""same"", ""same""]"	"[[], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
130	3:18	5	"[""strong"", ""strong"", ""candidate"", ""candidate"", ""candidate""]"	"[""shift"", ""shift"", ""same"", ""same"", ""same""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
131	3:18	5	"[""strong"", ""candidate"", ""candidate"", ""candidate"", ""candidate""]"	"[""shift"", ""same"", ""same"", ""same"", ""same""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
132	3:18	5	"[""candidate"", ""candidate"", ""candidate"", ""candidate"", ""none""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], []]"
133	3:19	5	"[""candidate"", ""candidate"", ""candidate"", ""none"", ""none""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [], []]"
136	3:20	5	"[""none"", ""none"", ""strong"", ""candidate"", ""candidate""]"	"[""same"", ""same"", ""shift"", ""shift"", ""same""]"	"[[], [], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""]]"
137	3:21	5	"[""none"", ""strong"", ""candidate"", ""candidate"", ""none""]"	"[""same"", ""shift"", ""shift"", ""same"", ""same""]"	"[[], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], []]"
138	3:21	5	"[""strong"", ""candidate"", ""candidate"", ""none"", ""none""]"	"[""shift"", ""shift"", ""same"", ""same"", ""same""]"	"[[""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [], []]"
141	4:2	5	"[""none"", ""none"", ""candidate"", ""candidate"", ""strong""]"	"[""same"", ""same"", ""same"", ""same"", ""shift""]"	"[[], [], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
142	4:3	5	"[""none"", ""candidate"", ""candidate"", ""strong"", ""candidate""]"	"[""same"", ""same"", ""same"", ""shift"", ""same""]"	"[[], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
143	4:3	5	"[""candidate"", ""candidate"", ""strong"", ""candidate"", ""none""]"	"[""same"", ""same"", ""shift"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], []]"
144	4:3	5	"[""candidate"", ""strong"", ""candidate"", ""none"", ""none""]"	"[""same"", ""shift"", ""same"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [], []]"
147	4:4	5	"[""none"", ""none"", ""candidate"", ""strong"", ""strong""]"	"[""same"", ""same"", ""shift"", ""shift"", ""shift""]"	"[[], [], [""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
148	4:5	5	"[""none"", ""candidate"", ""strong"", ""strong"", ""none""]"	"[""same"", ""shift"", ""shift"", ""shift"", ""same""]"	"[[], [""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], []]"
149	4:5	5	"[""candidate"", ""strong"", ""strong"", ""none"", ""none""]"	"[""shift"", ""shift"", ""shift"", ""same"", ""same""]"	"[[""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], []]"
153	4:6	5	"[""none"", ""none"", ""candidate"", ""strong"", ""strong""]"	"[""same"", ""same"", ""shift"", ""shift"", ""shift""]"	"[[], [], [""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
